DEPT,ECGR,ATRX,ATRT,NPHI,CAL1,HDAR,HROM,DTSM,DTCO
613,-999.25,0.58,0.69,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
613.5,-999.25,0.57,0.69,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
614,-999.25,0.48,0.64,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
614.5,-999.25,0.5297,0.6511,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
615,-999.25,0.5195,0.6891,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
615.5,-999.25,0.5,0.7,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
616,-999.25,0.53,0.68,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
616.5,-999.25,0.37,0.54,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
617,-999.25,0.5,0.67,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
617.5,-999.25,0.6092,0.7094,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
618,-999.25,0.5899,0.6999,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
618.5,-999.25,0.5792,0.68,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
619,-999.25,0.55,0.64,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
619.5,-999.25,0.57,0.63,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
620,-999.25,0.51,0.66,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
620.5,-999.25,0.4607,0.5909,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
621,-999.25,0.4206,0.59,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
621.5,-999.25,0.43,0.58,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
622,-999.25,0.47,0.65,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
622.5,-999.25,0.52,0.66,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
623,-999.25,0.55,0.65,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
623.5,-999.25,0.52,0.65,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
624,-999.25,0.51,0.65,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
624.5,-999.25,0.53,0.65,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
625,-999.25,0.58,0.67,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
625.5,-999.25,0.54,0.62,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
626,-999.25,0.5003,0.6595,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
626.5,-999.25,0.511,0.6402,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
627,-999.25,0.5496,0.6499,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
627.5,-999.25,0.5,0.64,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
628,-999.25,0.7376,0.8375,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
628.5,-999.25,0.78,0.84,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
629,-999.25,0.64,0.73,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
629.5,-999.25,0.58,0.73,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
630,-999.25,0.61,0.75,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
630.5,-999.25,0.68,0.79,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
631,-999.25,0.52,0.7,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
631.5,-999.25,0.5592,0.7892,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
632,-999.25,0.5203,0.7499,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
632.5,-999.25,0.63,0.72,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
633,-999.25,0.61,0.82,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
633.5,-999.25,0.55,0.76,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
634,-999.25,0.53,0.69,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
634.5,-999.25,0.55,0.69,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
635,-999.25,0.5596,0.69,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
635.5,-999.25,0.5503,0.6803,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
636,-999.25,0.55,0.7,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
636.5,-999.25,0.57,0.7,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
637,-999.25,0.6197,0.7397,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
637.5,-999.25,0.669,0.7596,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
638,-999.25,0.62,0.76,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
638.5,-999.25,0.66,0.83,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
639,-999.25,0.6602,0.8101,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
639.5,-999.25,0.69,0.83,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
640,-999.25,0.5818,0.7318,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
640.5,-999.25,0.59,0.72,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
641,-999.25,0.6,0.74,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
641.5,-999.25,0.6,0.74,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
642,-999.25,0.61,0.81,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
642.5,-999.25,0.8285,0.921,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
643,-999.25,0.6916,0.841,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
643.5,-999.25,0.7701,0.8901,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
644,-999.25,0.74,0.91,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
644.5,-999.25,0.73,0.88,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
645,-999.25,0.6695,0.8495,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
645.5,-999.25,0.6096,0.7295,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
646,-999.25,0.901,0.8104,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
646.5,-999.25,0.6144,0.7907,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
647,-999.25,0.66,0.84,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
647.5,-999.25,0.6309,0.8303,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
648,-999.25,0.6316,0.8311,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
648.5,-999.25,0.73,0.9,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
649,-999.25,0.79,0.9,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
649.5,-999.25,0.65,0.8,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
650,-999.25,0.6,0.79,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
650.5,-999.25,0.66,0.82,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
651,-999.25,0.64,0.77,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
651.5,-999.25,0.62,0.76,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
652,-999.25,0.62,0.74,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
652.5,-999.25,0.64,0.75,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
653,-999.25,0.62,0.75,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
653.5,-999.25,0.6498,0.8194,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
654,-999.25,0.6305,0.7713,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
