DEPT,ECGR,ATRT,DTCO,DTSM,RHOB,NPHI
538,71.1064,2.4307,-999.25,-999.25,-999.25,-999.25
538.5,79.5546,2.4739,-999.25,-999.25,-999.25,-999.25
539,88.7069,2.8184,-999.25,-999.25,-999.25,-999.25
539.5,79.8186,1.566,-999.25,-999.25,-999.25,-999.25
540,69.3463,1.1893,-999.25,-999.25,-999.25,-999.25
540.5,57.9059,1.1042,-999.25,-999.25,-999.25,-999.25
541,57.7299,0.6698,-999.25,-999.25,-999.25,-999.25
541.5,65.3861,0.7528,-999.25,-999.25,-999.25,-999.25
542,74.7145,0.841,-999.25,-999.25,-999.25,-999.25
542.5,72.2504,0.9394,-999.25,-999.25,-999.25,-999.25
543,70.2263,0.7574,-999.25,-999.25,-999.25,-999.25
543.5,63.8901,0.7338,-999.25,-999.25,-999.25,-999.25
544,55.0898,0.851,-999.25,-999.25,-999.25,-999.25
544.5,57.6419,0.8281,-999.25,-999.25,-999.25,-999.25
545,59.578,0.894,-999.25,-999.25,-999.25,-999.25
545.5,66.7062,0.9819,-999.25,-999.25,-999.25,-999.25
546,80.8747,1.4052,-999.25,-999.25,-999.25,-999.25
546.5,71.1064,2.5792,-999.25,-999.25,-999.25,-999.25
547,68.0262,2.623,-999.25,-999.25,-999.25,-999.25
547.5,80.4346,2.3082,-999.25,-999.25,-999.25,-999.25
548,76.0345,1.9218,-999.25,-999.25,-999.25,-999.25
548.5,57.5539,2.4937,-999.25,-999.25,-999.25,-999.25
549,46.9055,2.5839,-999.25,-999.25,-999.25,-999.25
549.5,46.8175,2.4899,-999.25,-999.25,-999.25,-999.25
550,43.7374,3.5837,-999.25,-999.25,-999.25,-999.25
550.5,39.2493,2.1052,-999.25,-999.25,-999.25,-999.25
551,41.9774,1.1106,-999.25,-999.25,-999.25,-999.25
551.5,44.6175,0.8618,-999.25,-999.25,-999.25,-999.25
552,45.4975,0.8244,-999.25,-999.25,-999.25,-999.25
552.5,48.9296,0.6457,-999.25,-999.25,-999.25,-999.25
553,58.4339,0.6457,-999.25,-999.25,-999.25,-999.25
553.5,81.256,0.5202,-999.25,-999.25,-999.25,-999.25
554,83.3387,0.8443,-999.25,-999.25,-999.25,-999.25
554.5,66.3982,1.2002,-999.25,-999.25,-999.25,-999.25
555,55.9698,1.039,-999.25,-999.25,-999.25,-999.25
555.5,71.4584,0.9633,-999.25,-999.25,-999.25,-999.25
556,67.5862,0.8686,-999.25,-999.25,-999.25,-999.25
556.5,70.7543,0.8733,-999.25,-999.25,-999.25,-999.25
557,46.5095,1.2509,-999.25,-999.25,-999.25,-999.25
557.5,41.8014,1.3021,-999.25,-999.25,-999.25,-999.25
558,50.3377,1.3546,-999.25,-999.25,-999.25,-999.25
558.5,52.9777,1.7903,-999.25,-999.25,-999.25,-999.25
559,48.0496,1.3063,-999.25,-999.25,-999.25,-999.25
559.5,42.2414,2.2555,-999.25,-999.25,-999.25,-999.25
560,48.1376,2.4982,-999.25,-999.25,-999.25,-999.25
560.5,50.6017,1.5184,-999.25,-999.25,-999.25,-999.25
561,28.2885,-999.25,-999.25,-999.25,-999.25,-999.25
561.5,25.9331,-999.25,-999.25,-999.25,-999.25,-999.25
562,25.2623,-999.25,-999.25,-999.25,-999.25,-999.25
562.5,35.4154,-999.25,-999.25,-999.25,-999.25,-999.25
563,33.8804,-999.25,-999.25,-999.25,-999.25,-999.25
563.5,34.0266,-999.25,-999.25,-999.25,-999.25,-999.25
564,33.0398,-999.25,-999.25,-999.25,-999.25,-999.25
564.5,30.8469,-999.25,-999.25,-999.25,-999.25,-999.25
565,32.8205,-999.25,-999.25,-999.25,-999.25,-999.25
565.5,33.9169,-999.25,-999.25,-999.25,-999.25,-999.25
566,34.7941,-999.25,-999.25,-999.25,-999.25,-999.25
566.5,27.192,-999.25,-999.25,-999.25,-999.25,-999.25
567,22.2214,-999.25,-999.25,-999.25,-999.25,-999.25
567.5,34.2824,-999.25,-999.25,-999.25,-999.25,-999.25
568,33.0398,-999.25,-999.25,-999.25,-999.25,-999.25
568.5,28.0692,-999.25,-999.25,-999.25,-999.25,-999.25
569,29.586,-999.25,-999.25,-999.25,-999.25,-999.25
569.5,35.4885,-999.25,-999.25,-999.25,-999.25,-999.25
570,39.3261,-999.25,-999.25,-999.25,-999.25,-999.25
570.5,47.0013,-999.25,-999.25,-999.25,-999.25,-999.25
571,48.0977,-999.25,-999.25,-999.25,-999.25,-999.25
571.5,50.2906,-999.25,-999.25,-999.25,-999.25,-999.25
572,50.2906,-999.25,-999.25,-999.25,-999.25,-999.25
572.5,50.583,-999.25,-999.25,-999.25,-999.25,-999.25
573,50.1444,-999.25,-999.25,-999.25,-999.25,-999.25
573.5,45.9048,-999.25,-999.25,-999.25,-999.25,-999.25
574,43.054,-999.25,-999.25,-999.25,-999.25,-999.25
574.5,45.0276,-999.25,-999.25,-999.25,-999.25,-999.25
575,56.577,-999.25,-999.25,-999.25,-999.25,-999.25
575.5,104.163,-999.25,-999.25,-999.25,-999.25,-999.25
576,137.6413,-999.25,-999.25,-999.25,-999.25,-999.25
